pl	lx	note
Ja negacja (nie) pić punkt akupunkturowy.	ao daoo ju yang-nue.	synthetic
Jeśli ty jeść heijiro (imię własne), ty pić woda.	jiao nio ji heijiro, nio ju zhe.	synthetic
On/ona negacja (nie) wiedzieć dudnienie.	cou daoo ga zhuang-gua.	synthetic
Ja partykuła posiadania/określenia więc.	ao zhai suo.	synthetic
Ja negacja (nie) słuchać mit.	ao daoo fu huai-bing.	synthetic
Ty negacja (nie) pić brama (budowla).	nio daoo ju rong-ji.	synthetic
Ja słuchać włosy na głowie.	ao fu hen-lun.	synthetic
On/ona negacja (nie) słuchać rozpacz.	cou daoo fu beio-dei.	synthetic
On/ona mówić pokorny sługa (o sobie)	cou bi kei-hou mo	synthetic
Jeśli ja jeść grad, ja pić woda.	jiao ao ji nin-lin, ao ju zhe.	synthetic
Jeśli ja jeść obracać się, ja pić woda.	jiao ao ji ha-ga, ao ju zhe.	synthetic
Ja pić walczyć	ao ju nu mo	synthetic
On/ona negacja (nie) pić ubolewać.	cou daoo ju nai-zi.	synthetic
Ty negacja (nie) pić szlachetny mąż.	nio daoo ju chou-zhen.	synthetic
My słuchać degustować.	lano fu ken-qin.	synthetic
My jeść obudzić się	lano ji ke mo	synthetic
My pić trzęsienie ziemi.	lano ju zheno-nuan.	synthetic
My pić jedwab.	lano ju geng-xi.	synthetic
Ja wiedzieć list, korespondencja.	ao ga kan-duo.	synthetic
Jeśli ty jeść dorsz żółty, ty pić woda.	jiao nio ji dongo-huan, nio ju zhe.	synthetic
My negacja (nie) pić żółty ziemisty.	lano daoo ju nou-gang.	synthetic
Ja negacja (nie) jeść społeczeństwo.	ao daoo ji jiu-zheng.	synthetic
Ty słuchać gra.	nio fu fen-qiu.	synthetic
My pić zasady Niebios.	lano ju se-lei.	synthetic
On/ona mówić kochać	cou bi quo mo	synthetic
On/ona jeść rzepa, rzodkiew.	cou ji nai-yan.	synthetic
My negacja (nie) mówić choroba (formalne).	lano daoo bi mian-lue.	synthetic
Ty negacja (nie) słuchać palec u ręki.	nio daoo fu qia-fo.	synthetic
Jeśli my jeść biblioteka, my pić woda.	jiao lano ji xu-pu-nei, lano ju zhe.	synthetic
My negacja (nie) mówić ćwiczyć, praktykować.	lano daoo bi rang-gun.	synthetic
Jeśli on/ona jeść szlachetny mąż, on/ona pić woda.	jiao cou ji chou-zhen, cou ju zhe.	synthetic
On/ona negacja (nie) mówić jaskółka.	cou daoo bi yeno-cou.	synthetic
Ja słuchać ciąża	ao fu shuang-lai mo	synthetic
Jeśli ja jeść relacja, związek, ja pić woda.	jiao ao ji zan-ren, ao ju zhe.	synthetic
Ty jeść palić kadzidło.	nio ji feng-zhuan.	synthetic
My negacja (nie) mówić trzęsienie ziemi.	lano daoo bi zheno-nuan.	synthetic
On/ona pić okazja.	cou ju dai-lu.	synthetic
On/ona negacja (nie) mówić małe dojrzewanie.	cou daoo bi nian-hen.	synthetic
My partykuła posiadania/określenia plutonowy.	lano zhai o-an.	synthetic
Jeśli ty jeść pytać, ty pić woda.	jiao nio ji buo, nio ju zhe.	synthetic
Ja mówić ubolewać.	ao bi nai-zi.	synthetic
On/ona słuchać klęczeć	cou fu gun-wan mo	synthetic
Ja partykuła posiadania/określenia liście herbaty.	ao zhai qiu-pang.	synthetic
On/ona mówić zdrowy	cou bi qin mo	synthetic
Ja partykuła posiadania/określenia ogień wątroby.	ao zhai kuan-ni.	synthetic
On/ona negacja (nie) pić chleb.	cou daoo ju miano.	synthetic
On/ona pić dużo	cou ju gaoo mo	synthetic
On/ona mówić róża chińska	cou bi gang-gong mo	synthetic
On/ona wiedzieć lśniący, błyszczący	cou ga diu-zhai mo	synthetic
Jeśli my jeść żółty ziemisty, my pić woda.	jiao lano ji nou-gang, lano ju zhe.	synthetic
My negacja (nie) jeść zamiatać podłogę.	lano daoo ji pen-xin.	synthetic
Jeśli ja jeść mieć, ja pić woda.	jiao ao ji an, ao ju zhe.	synthetic
On/ona słuchać grad	cou fu nin-lin mo	synthetic
On/ona negacja (nie) jeść przerywać.	cou daoo ji shan-yun.	synthetic
My jeść bezpieczeństwo	lano ji diao-eng mo	synthetic
Ja jeść aksamitny.	ao ji zang-fou.	synthetic
Ja jeść marchew.	ao ji caio-pian.	synthetic
Ty wiedzieć żona wujka	nio ga pi-guo mo	synthetic
On/ona pić skręcenie.	cou ju mo-rua.	synthetic
On/ona negacja (nie) pić wiśnia.	cou daoo ju guoo-long.	synthetic
Jeśli ty jeść gdzie, ty pić woda.	jiao nio ji hen-yuan, nio ju zhe.	synthetic
Jeśli ty jeść jedzenie, ty pić woda.	jiao nio ji shio-deng, nio ju zhe.	synthetic
Jeśli on/ona jeść krew, on/ona pić woda.	jiao cou ji cong, cou ju zhe.	synthetic
Ja negacja (nie) jeść wypłynąć.	ao daoo ji ye-dong.	synthetic
My pić zasoby	lano ju beng-rou mo	synthetic
Ja negacja (nie) wiedzieć poprawność.	ao daoo ga kua-suo.	synthetic
Ty wiedzieć za każdym razem	nio ga nuo-er mo	synthetic
On/ona negacja (nie) słuchać skręcenie.	cou daoo fu mo-rua.	synthetic
Ja negacja (nie) mówić zacząć.	ao daoo bi te.	synthetic
My wiedzieć leżeć.	lano ga jun-liu.	synthetic
Ja jeść pięta.	ao ji chou-a.	synthetic
Ty negacja (nie) jeść wschód słońca.	nio daoo ji keng-la.	synthetic
Ja wiedzieć brzoskwinia.	ao ga guoo-nuo.	synthetic
My negacja (nie) wiedzieć pożar.	lano daoo ga mo-ta.	synthetic
Jeśli ty jeść wybrzeże, ty pić woda.	jiao nio ji haio-qin, nio ju zhe.	synthetic
On/ona jeść 20	cou ji zun mo	synthetic
Ja mówić mistrz (ogólne, szanujące)	ao bi cheng-chen mo	synthetic
On/ona partykuła posiadania/określenia odcinać.	cou zhai zeng-ai.	synthetic
Ja negacja (nie) mówić jadeitowa Rzeka.	ao daoo bi heo-ha.	synthetic
Jeśli on/ona jeść armia, on/ona pić woda.	jiao cou ji wu-xuan, cou ju zhe.	synthetic
Ja wiedzieć wojownik.	ao ga chai-hun.	synthetic
On/ona partykuła posiadania/określenia syndrom gorąca.	cou zhai qio-mian.	synthetic
Ty partykuła posiadania/określenia pierścień.	nio zhai bei-xiang.	synthetic
On/ona negacja (nie) mówić syndrom gorąca.	cou daoo bi qio-mian.	synthetic
My negacja (nie) jeść rękawiczki.	lano daoo ji tang-lu.	synthetic
Ty mówić doktor (stopień).	nio bi lei-gun.	synthetic
Ty jeść tyka, drążek.	nio ji miu-nin.	synthetic
On/ona jeść bogactwo	cou ji rong-cang mo	synthetic
On/ona jeść technika	cou ji bang-zang mo	synthetic
My negacja (nie) wiedzieć starożytne Królestwo.	lano daoo ga zan-wa.	synthetic
On/ona negacja (nie) pić myśleć.	cou daoo ju geo.	synthetic
Ja pić jabłko.	ao ju guoo-shang.	synthetic
On/ona pić heijiro (imię własne)	cou ju heijiro mo	synthetic
On/ona negacja (nie) pić lis.	cou daoo ju hulo-bi.	synthetic
My mówić kochać	lano bi quo mo	synthetic
Ty słuchać ciąć.	nio fu pa.	synthetic
Ty negacja (nie) pić kwiat granatu.	nio daoo ju xie-long.	synthetic
Ty wiedzieć wdzięczność (głęboka)	nio ga mi-ben mo	synthetic
Jeśli on/ona jeść rozpocząć podróż, on/ona pić woda.	jiao cou ji chu-xun, cou ju zhe.	synthetic
Ty mówić z przodu	nio bi ma-ti mo	synthetic
Ty negacja (nie) mówić pięćdziesiąt.	nio daoo bi gui-nin.	synthetic
Ty negacja (nie) mówić sprzeciwiać się.	nio daoo bi shen-shuan.	synthetic
Ty słuchać społeczeństwo	nio fu jiu-zheng mo	synthetic
Jeśli on/ona jeść wielki Mistrz, on/ona pić woda.	jiao cou ji kuai-ben, cou ju zhe.	synthetic
On/ona negacja (nie) mówić rozpatrywać.	cou daoo bi ye-fen.	synthetic
Jeśli ja jeść 3, ja pić woda.	jiao ao ji cen, ao ju zhe.	synthetic
My negacja (nie) pić taktyka.	lano daoo ju mao-xie.	synthetic
My negacja (nie) wiedzieć przerywać.	lano daoo ga shan-yun.	synthetic
Ja partykuła posiadania/określenia słowo.	ao zhai jian-ye.	synthetic
My słuchać tym razem.	lano fu tan-guai.	synthetic
Ty jeść 20.	nio ji zun.	synthetic
My mówić zasoby	lano bi beng-rou mo	synthetic
Ja partykuła posiadania/określenia sui-Tun pewno.	ao zhai reng-bin.	synthetic
My negacja (nie) słuchać wół.	lano daoo fu bing-wo.	synthetic
On/ona słuchać trochę	cou fu xun mo	synthetic
On/ona słuchać leniwy	cou fu nen-lian mo	synthetic
Ty negacja (nie) pić dokument.	nio daoo ju lai-kei.	synthetic
Jeśli ty jeść nie ma za co, ty pić woda.	jiao nio ji a-er-ma, nio ju zhe.	synthetic
Ty pić potomek	nio ju mou-lai mo	synthetic
Ja słuchać rynek	ao fu bao-shao mo	synthetic
Ty słuchać pięćdziesiąt.	nio fu gui-nin.	synthetic
My partykuła posiadania/określenia iść szybko.	lano zhai tuan-re.	synthetic
Ja jeść starożytna.	ao ji hun-bang.	synthetic
Ja partykuła posiadania/określenia tyka, drążek.	ao zhai miu-nin.	synthetic
Jeśli ty jeść niedobór nerek, ty pić woda.	jiao nio ji sa-can, nio ju zhe.	synthetic
Jeśli on/ona jeść srebrny, on/ona pić woda.	jiao cou ji liu-ye, cou ju zhe.	synthetic
Ja negacja (nie) wiedzieć szanowny pan.	ao daoo ga muo-song.	synthetic
Ty wiedzieć patogen wilgoci.	nio ga pa-nue.	synthetic
Jeśli my jeść włosy na głowie, my pić woda.	jiao lano ji hen-lun, lano ju zhe.	synthetic
My partykuła posiadania/określenia brama (budowla).	lano zhai rong-ji.	synthetic
On/ona mówić gubernator.	cou bi mang-wei.	synthetic
Ty mówić syndrom nadmiaru	nio bi che-ao mo	synthetic
My partykuła posiadania/określenia wzrok.	lano zhai zui-ka.	synthetic
Jeśli ja jeść patrzeć, ja pić woda.	jiao ao ji fa, ao ju zhe.	synthetic
Ja negacja (nie) słuchać dać.	ao daoo fu dio.	synthetic
My mówić rozkazywać.	lano bi nue-zui.	synthetic
Ja negacja (nie) jeść czysty.	ao daoo ji cha-hui.	synthetic
Ty partykuła posiadania/określenia żona wujka.	nio zhai pi-guo.	synthetic
On/ona mówić drabina	cou bi xian-miao mo	synthetic
Ja wiedzieć aromatyczny	ao ga dui-za mo	synthetic
Ja jeść ktoś.	ao ji she.	synthetic
Jeśli ja jeść trochę, ja pić woda.	jiao ao ji xun, ao ju zhe.	synthetic
On/ona jeść rodzina od żony.	cou ji miao-xuan.	synthetic
On/ona negacja (nie) mówić wy.	cou daoo bi lei.	synthetic
Ty pić 20	nio ju zun mo	synthetic
My wiedzieć wicehrabia.	lano ga ruo-zei.	synthetic
On/ona pić zapisywać, rejestrować.	cou ju bian-deng.	synthetic
Ty partykuła posiadania/określenia częściowo pochmurnie.	nio zhai tiano-gou.	synthetic
Ja słuchać mieć	ao fu an mo	synthetic
My mówić odcinać	lano bi zeng-ai mo	synthetic
On/ona jeść każdy	cou ji kun mo	synthetic
My wiedzieć Ministerstwo Wojny.	lano ga lao-ceng.	synthetic
Jeśli on/ona jeść prowadzić, on/ona pić woda.	jiao cou ji ang-yong, cou ju zhe.	synthetic
My wiedzieć łóżko.	lano ga zhai-lie.	synthetic
On/ona wiedzieć wachlarz.	cou ga du-luo.	synthetic
Ty jeść lato.	nio ji yan-ang.	synthetic
My negacja (nie) pić odepchnąć.	lano daoo ju fan-keng.	synthetic
Ja partykuła posiadania/określenia mały upał.	ao zhai ding-zei.	synthetic
Jeśli ja jeść wzdychać, ja pić woda.	jiao ao ji liao-qiao, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć bezpieczeństwo.	cou daoo ga diao-eng.	synthetic
On/ona partykuła posiadania/określenia zmiana klimatu.	cou zhai qio-dao-na.	synthetic
Ty pić lis.	nio ju hulo-bi.	synthetic
My mówić brama (budowla).	lano bi rong-ji.	synthetic
My mówić wicehrabia	lano bi ruo-zei mo	synthetic
Ja negacja (nie) słuchać szacunek.	ao daoo fu rongo-cao.	synthetic
Ty wiedzieć ściana	nio ga ling-dian mo	synthetic
Ty mówić starożytna	nio bi hun-bang mo	synthetic
My partykuła posiadania/określenia wewnętrzny-zewnętrzny.	lano zhai bian-pian.	synthetic
On/ona wiedzieć gdzie.	cou ga hen-yuan.	synthetic
Jeśli ja jeść ubolewać, ja pić woda.	jiao ao ji nai-zi, ao ju zhe.	synthetic
Ja pić żona wujka	ao ju pi-guo mo	synthetic
My wiedzieć szkoła taoistyczna	lano ga gang-pu mo	synthetic
My partykuła posiadania/określenia doktor (stopień).	lano zhai lei-gun.	synthetic
Ty słuchać zmiana klimatu	nio fu qio-dao-na mo	synthetic
Ja partykuła posiadania/określenia uniwersytet.	ao zhai xiong-ning.	synthetic
On/ona wiedzieć wicehrabia.	cou ga ruo-zei.	synthetic
On/ona mówić żółty	cou bi nou mo	synthetic
On/ona jeść jakość.	cou ji ming-en.	synthetic
Jeśli ja jeść glina, ja pić woda.	jiao ao ji la-sha, ao ju zhe.	synthetic
My pić wdzięczność (głęboka).	lano ju mi-ben.	synthetic
Ja negacja (nie) wiedzieć średni.	ao daoo ga zhi-re.	synthetic
On/ona partykuła posiadania/określenia łódź rybacka.	cou zhai haio-men.	synthetic
Ty pić raportować, zgłaszać	nio ju fang-tou mo	synthetic
Jeśli ty jeść miąższ owocu, ty pić woda.	jiao nio ji duano-sai, nio ju zhe.	synthetic
Jeśli my jeść rzutka, my pić woda.	jiao lano ji ou-ning, lano ju zhe.	synthetic
Ty partykuła posiadania/określenia ubolewać.	nio zhai nai-zi.	synthetic
Ty słuchać ogień serca.	nio fu cuo-hui.	synthetic
On/ona mówić złota rybka.	cou bi dongo-che.	synthetic
Ty pić ochrona środowiska.	nio ju wen-dai.	synthetic
On/ona pić uśmiechać się	cou ju tao-bin mo	synthetic
Ja negacja (nie) wiedzieć osmanthus.	ao daoo ga xue-yi.	synthetic
Jeśli on/ona jeść daktyl chiński, on/ona pić woda.	jiao cou ji zu-ji, cou ju zhe.	synthetic
Ty negacja (nie) mówić nosorożec.	nio daoo bi ruo-nie.	synthetic
My negacja (nie) słuchać cang-Sou.	lano daoo fu sa-wa.	synthetic
Ja partykuła posiadania/określenia pałac postu.	ao zhai le-xu.	synthetic
On/ona negacja (nie) pić żniwa.	cou daoo ju zhen-zhe.	synthetic
Ja wiedzieć armia	ao ga wu-xuan mo	synthetic
Ja wiedzieć pałac postu	ao ga le-xu mo	synthetic
Ty negacja (nie) pić szczypce.	nio daoo ju tang-bai.	synthetic
Ty pić smarować (farbą).	nio ju qie-wa.	synthetic
My wiedzieć zezwalać.	lano ga can-ling.	synthetic
On/ona pić szlachetny mąż	cou ju chou-zhen mo	synthetic
Ty partykuła posiadania/określenia oddzielać.	nio zhai tu-zan.	synthetic
On/ona negacja (nie) mówić gra.	cou daoo bi fen-qiu.	synthetic
Ja wiedzieć starszy współuczeń (mężczyzna)	ao ga ma-xie mo	synthetic
Ty jeść kochać	nio ji quo mo	synthetic
On/ona jeść korzeń.	cou ji geno-suo.	synthetic
On/ona negacja (nie) słuchać degustować.	cou daoo fu ken-qin.	synthetic
My partykuła posiadania/określenia ksitigarbha (bodhisattwa).	lano zhai geng-zao.	synthetic
My pić morwa	lano ju hua-nuan mo	synthetic
Ja jeść zdanie.	ao ji lue-zhen.	synthetic
Ja wiedzieć rozpatrywać	ao ga ye-fen mo	synthetic
Ty wiedzieć syndrom gorąca.	nio ga qio-mian.	synthetic
Ja partykuła posiadania/określenia walka.	ao zhai luo-di.	synthetic
My partykuła posiadania/określenia każdy.	lano zhai kun.	synthetic
Ja mówić kaczka mandarynka (para).	ao bi yamo-ma.	synthetic
My partykuła posiadania/określenia zmęczenie.	lano zhai chua-cheng.	synthetic
On/ona mówić proces	cou bi dang-ban mo	synthetic
Ty pić marmur.	nio ju ne-cuan-wo.	synthetic
On/ona jeść jadeitowa Rzeka	cou ji heo-ha mo	synthetic
On/ona słuchać śmieć.	cou fu zeng-reng.	synthetic
Ty negacja (nie) słuchać taoista.	nio daoo fu ti-cou.	synthetic
On/ona negacja (nie) mówić z przodu.	cou daoo bi ma-ti.	synthetic
Ty negacja (nie) pić żółty ziemisty.	nio daoo ju nou-gang.	synthetic
Ty negacja (nie) wiedzieć leżeć na plecach.	nio daoo ga xing-wan.	synthetic
On/ona słuchać wstawać.	cou fu hang-nuo.	synthetic
Ty partykuła posiadania/określenia jadeitowa Rzeka.	nio zhai heo-ha.	synthetic
Ty partykuła posiadania/określenia pasmo górskie.	nio zhai he-shuang.	synthetic
Ja negacja (nie) wiedzieć nosorożec.	ao daoo ga ruo-nie.	synthetic
On/ona negacja (nie) pić bicie dzwonu.	cou daoo ju shun-you.	synthetic
On/ona negacja (nie) mówić marchew.	cou daoo bi caio-pian.	synthetic
On/ona negacja (nie) jeść wino.	cou daoo ji geng.	synthetic
Jeśli my jeść krawiec, my pić woda.	jiao lano ji sou-mei, lano ju zhe.	synthetic
Ja partykuła posiadania/określenia zapach dymu.	ao zhai pei-die.	synthetic
Jeśli ja jeść mąż cioci, ja pić woda.	jiao ao ji tao-deng, ao ju zhe.	synthetic
Ty wiedzieć zamknąć.	nio ga tao.	synthetic
On/ona negacja (nie) pić mały upał.	cou daoo ju ding-zei.	synthetic
On/ona partykuła posiadania/określenia koral.	cou zhai luan-bo.	synthetic
Ty partykuła posiadania/określenia ostrzegać.	nio zhai tong-mai.	synthetic
Jeśli my jeść śmiać się, my pić woda.	jiao lano ji tao-pin, lano ju zhe.	synthetic
Ty pić piętro, warstwa.	nio ju cuo-pang.	synthetic
Ja pić szósty.	ao ju zai-ji.	synthetic
My negacja (nie) jeść ziemia orna.	lano daoo ji diio-rui.	synthetic
My pić około	lano ju ning-kua mo	synthetic
My negacja (nie) mówić uniwersytet.	lano daoo bi xiong-ning.	synthetic
My mówić gotowany ryż	lano bi fano-sheng mo	synthetic
Jeśli ja jeść rękawiczki, ja pić woda.	jiao ao ji tang-lu, ao ju zhe.	synthetic
My negacja (nie) pić mieć.	lano daoo ju an.	synthetic
On/ona pić torba, worek.	cou ju cao-gou.	synthetic
My negacja (nie) jeść teraz.	lano daoo ji nun.	synthetic
On/ona jeść czasem	cou ji gang-nou mo	synthetic
Ty mówić żona.	nio bi miao-you.	synthetic
On/ona negacja (nie) pić łabędź.	cou daoo ju cuan-gai.	synthetic
Ja wiedzieć wewnętrzny-zewnętrzny	ao ga bian-pian mo	synthetic
Ja negacja (nie) mówić dokument.	ao daoo bi lai-kei.	synthetic
Ty negacja (nie) słuchać pasmo górskie.	nio daoo fu he-shuang.	synthetic
On/ona negacja (nie) wiedzieć sui-Tun pewno.	cou daoo ga reng-bin.	synthetic
Ja mówić tamci	ao bi hu-dou mo	synthetic
Ja wiedzieć siła.	ao ga bian-pei.	synthetic
Ja mówić bicie dzwonu.	ao bi shun-you.	synthetic
Ty negacja (nie) pić leżeć na plecach.	nio daoo ju xing-wan.	synthetic
Ja mówić siła.	ao bi bian-pei.	synthetic
Ty jeść głodny	nio ji pie mo	synthetic
Jeśli ty jeść pić, ty pić woda.	jiao nio ji ju, nio ju zhe.	synthetic
My pić pokolenie (starsze/młodsze).	lano ju jue-keng.	synthetic
My mówić teraz	lano bi nun mo	synthetic
My jeść kadzielnica	lano ji yang-cang mo	synthetic
Jeśli my jeść około, my pić woda.	jiao lano ji ning-kua, lano ju zhe.	synthetic
Ty negacja (nie) wiedzieć teraz.	nio daoo ga nun.	synthetic
Jeśli ty jeść liryka (forma poetycka), ty pić woda.	jiao nio ji ya-ju, nio ju zhe.	synthetic
Jeśli on/ona jeść coś, on/ona pić woda.	jiao cou ji qie, cou ju zhe.	synthetic
Ja mówić wznieść toast.	ao bi dao-eng.	synthetic
On/ona partykuła posiadania/określenia technika miecza.	cou zhai jie-lian.	synthetic
My mówić trzeci.	lano bi se-duan.	synthetic
Ty pić klęczeć	nio ju gun-wan mo	synthetic
My jeść uporządkowany, schludny	lano ji pin-jiang mo	synthetic
On/ona partykuła posiadania/określenia czasem.	cou zhai gang-nou.	synthetic
On/ona mówić ukończyć.	cou bi lei-zhuai.	synthetic
On/ona jeść dać.	cou ji dio.	synthetic
Ty wiedzieć rząd	nio ga dai-ran mo	synthetic
My słuchać też	lano fu yueo mo	synthetic
Ty partykuła posiadania/określenia mit.	nio zhai huai-bing.	synthetic
Ja partykuła posiadania/określenia tłumacz.	ao zhai nei-he-ren.	synthetic
Ty jeść sztuka walki mieczem.	nio ji xin-heng.	synthetic
Jeśli ja jeść zewnętrzna, ja pić woda.	jiao ao ji tuo-bo, ao ju zhe.	synthetic
My negacja (nie) pić decydować.	lano daoo ju yu-kao.	synthetic
Ja słuchać szeroki.	ao fu bei-hui.	synthetic
Ty partykuła posiadania/określenia trzeci.	nio zhai se-duan.	synthetic
My wiedzieć potwierdzić.	lano ga duo-kuan.	synthetic
My negacja (nie) mówić doktor (stopień).	lano daoo bi lei-gun.	synthetic
Jeśli ja jeść tysiąc, ja pić woda.	jiao ao ji tang-nin, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć tradycyjna medycyna chińska.	cou daoo ga xun-cui.	synthetic
My słuchać odepchnąć.	lano fu fan-keng.	synthetic
My wiedzieć ochrona środowiska	lano ga wen-dai mo	synthetic
On/ona wiedzieć erupcja.	cou ga guai-suan.	synthetic
My pić narracja, opowiadanie.	lano ju chi-cong.	synthetic
Ja mówić walka.	ao bi luo-di.	synthetic
Ty partykuła posiadania/określenia złota rybka.	nio zhai dongo-che.	synthetic
Ty partykuła posiadania/określenia liść drzewa.	nio zhai shen-cun.	synthetic
Ja jeść pociąg.	ao ji yuan-lan.	synthetic
Ja wiedzieć piżama	ao ga zhan-chong mo	synthetic
My negacja (nie) mówić piżama.	lano daoo bi zhan-chong.	synthetic
Jeśli ja jeść pusty, ja pić woda.	jiao ao ji hua, ao ju zhe.	synthetic
On/ona słuchać śmiać się.	cou fu tao-pin.	synthetic
My partykuła posiadania/określenia sławny.	lano zhai dong-zei.	synthetic
On/ona negacja (nie) mówić żniwa.	cou daoo bi zhen-zhe.	synthetic
My partykuła posiadania/określenia wypłynąć.	lano zhai ye-dong.	synthetic
Ty pić rękawiczki.	nio ju tang-lu.	synthetic
My mówić praca domowa, zadanie	lano bi cang-jiu mo	synthetic
Ty negacja (nie) wiedzieć Ministerstwo Wojny.	nio daoo ga lao-ceng.	synthetic
Ty negacja (nie) słuchać jajko stulecia.	nio daoo fu guai-can.	synthetic
My wiedzieć skórka owocu.	lano ga duano-ri.	synthetic
Ty słuchać tymczasowy	nio fu luo-gai mo	synthetic
Ja pić objaśniać	ao ju sang-pi mo	synthetic
On/ona jeść ciąża.	cou ji shuang-lai.	synthetic
Ja negacja (nie) wiedzieć wstawać.	ao daoo ga hang-nuo.	synthetic
Ty partykuła posiadania/określenia słodki.	nio zhai jun.	synthetic
Ty negacja (nie) mówić rzęsy.	nio daoo bi lie-nong.	synthetic
On/ona wiedzieć machać ręką.	cou ga kun-beng.	synthetic
My negacja (nie) wiedzieć koszula.	lano daoo ga cheng-liao.	synthetic
Ja słuchać poprawność.	ao fu kua-suo.	synthetic
Ja słuchać nudny.	ao fu zhen-tuo.	synthetic
Ty jeść przygotowywać.	nio ji jio-diu.	synthetic
Ja pić armia	ao ju wu-xuan mo	synthetic
Jeśli ty jeść ziemia orna, ty pić woda.	jiao nio ji diio-rui, nio ju zhe.	synthetic
On/ona partykuła posiadania/określenia wróżbiarstwo.	cou zhai tian-hen.	synthetic
My pić szlachetny mąż	lano ju chou-zhen mo	synthetic
On/ona negacja (nie) jeść zasada.	cou daoo ji cha-cun.	synthetic
Ty partykuła posiadania/określenia oczywiście.	nio zhai nei-niao.	synthetic
Ja partykuła posiadania/określenia erupcja.	ao zhai guai-suan.	synthetic
Ja wiedzieć pierścień	ao ga bei-xiang mo	synthetic
Ja mówić cienkość	ao bi shuio mo	synthetic
Jeśli on/ona jeść stopa, on/ona pić woda.	jiao cou ji chan, cou ju zhe.	synthetic
Jeśli ja jeść skręcenie, ja pić woda.	jiao ao ji mo-rua, ao ju zhe.	synthetic
My słuchać płaski.	lano fu cheng-gang.	synthetic
Jeśli my jeść odcinać, my pić woda.	jiao lano ji zeng-ai, lano ju zhe.	synthetic
On/ona słuchać uporządkowany, schludny	cou fu pin-jiang mo	synthetic
On/ona wiedzieć zabić	cou ga pi mo	synthetic
Ty negacja (nie) mówić wybrzeże.	nio daoo bi haio-qin.	synthetic
Ty negacja (nie) pić pasmo górskie.	nio daoo ju he-shuang.	synthetic
Ja negacja (nie) wiedzieć mało.	ao daoo ga min.	synthetic
On/ona mówić pustynia.	cou bi gu-ruo.	synthetic
Ty słuchać myć twarz	nio fu cha-huai mo	synthetic
Ja pić ubierać się.	ao ju jie-fo.	synthetic
On/ona jeść tymczasowy.	cou ji luo-gai.	synthetic
Ty partykuła posiadania/określenia tamci.	nio zhai hu-dou.	synthetic
Ty pić łódź rybacka	nio ju haio-men mo	synthetic
On/ona jeść jego Wysokość (cesarz).	cou ji fu-diu.	synthetic
Ja negacja (nie) słuchać prowadzić.	ao daoo fu ang-yong.	synthetic
My negacja (nie) wiedzieć głodny.	lano daoo ga pie.	synthetic
Jeśli ty jeść praca domowa, zadanie, ty pić woda.	jiao nio ji cang-jiu, nio ju zhe.	synthetic
Ty słuchać marmur	nio fu ne-cuan-wo mo	synthetic
Jeśli ja jeść zacząć, ja pić woda.	jiao ao ji te, ao ju zhe.	synthetic
Ja jeść teraz.	ao ji nun.	synthetic
On/ona jeść technika.	cou ji bang-zang.	synthetic
On/ona wiedzieć dzień.	cou ga jian.	synthetic
Ja słuchać odmrożenie	ao fu lu-qing mo	synthetic
My negacja (nie) jeść wybrzeże.	lano daoo ji haio-qin.	synthetic
Ja negacja (nie) mówić rozkazywać.	ao daoo bi nue-zui.	synthetic
Jeśli my jeść zapach dymu, my pić woda.	jiao lano ji pei-die, lano ju zhe.	synthetic
Ja jeść klęczeć.	ao ji gun-wan.	synthetic
Ja mówić nosorożec	ao bi ruo-nie mo	synthetic
On/ona negacja (nie) pić aksamitny.	cou daoo ju zang-fou.	synthetic
Jeśli on/ona jeść pigułka, on/ona pić woda.	jiao cou ji fu-suan, cou ju zhe.	synthetic
On/ona wiedzieć wschód słońca.	cou ga keng-la.	synthetic
My wiedzieć tamci	lano ga hu-dou mo	synthetic
On/ona słuchać kłuć, dźgać	cou fu gu-che mo	synthetic
My mówić ostryga	lano bi luo-shuo mo	synthetic
Jeśli on/ona jeść Cesarzowa wdowa, on/ona pić woda.	jiao cou ji tie-dei, cou ju zhe.	synthetic
Ty partykuła posiadania/określenia rano.	nio zhai jing.	synthetic
My wiedzieć gałązki cynamonu	lano ga liao-shang mo	synthetic
Jeśli ja jeść zmiana klimatu, ja pić woda.	jiao ao ji qio-dao-na, ao ju zhe.	synthetic
On/ona partykuła posiadania/określenia torba, worek.	cou zhai cao-gou.	synthetic
On/ona słuchać uspokojony.	cou fu qian-shen.	synthetic
On/ona negacja (nie) pić taoista.	cou daoo ju ti-cou.	synthetic
Ja negacja (nie) pić górska ścieżka.	ao daoo ju sheng-bai.	synthetic
On/ona mówić machać ręką.	cou bi kun-beng.	synthetic
My partykuła posiadania/określenia gdzie.	lano zhai hen-yuan.	synthetic
My partykuła posiadania/określenia mąż.	lano zhai juan-nie.	synthetic
On/ona jeść trzęsienie ziemi	cou ji zheno-nuan mo	synthetic
My partykuła posiadania/określenia owocowy zapach.	lano zhai duano-meng.	synthetic
Ja partykuła posiadania/określenia jaskółka.	ao zhai yeno-cou.	synthetic
Ja słuchać brzoskwinia.	ao fu guoo-nuo.	synthetic
My negacja (nie) mówić zwycięstwo.	lano daoo bi a-qian.	synthetic
