0	kong
zniszczony	fu-mai
zniszczony, zużyty	fu-mai
zniszczyć całkowicie	wai-bo
znowu	zan
znudzenie	chua-gui
znudzenie, zmęczenie	chua-gui
zobaczymy	ruo-fan-lan
zobaczymy (dosł. patrz sytuacja)	ruo-fan-lan
zobaczyć	bie-pian
zostawać	yu-fa
zostać	wo
zrealizować	ma-zhao
zrozumienie siły	xia-mei
zrozumieć	ai-cui
zrozumieć	shi-huai
zrównoważony	guo-nen-zhuo
zupa	qun-te
zużyty	fu-mai
zużywać	zai-wu
zwalniać	kuo-heng
zwichnięcie	gang-gou
zwiedzać	lian-cong
zwierzę domowe	dongo-bao
zwierzęta	dongo-xiang
zwierzęta wymarłe	dongo-lian
zwierzęta zagrożone	dongo-cheng
zwijać	lin-pa
związek	zan-ren
zwiększać	chun-man
zwracać uwagę	song-dong
zwycięstwo	a-qian
zwyciężyć	zang-liao
zwyczaj	ha-mou
zwykły	shuan-ei
zwykły, przeciętny	shuan-ei
zwój malarzy	hua-ze
zysk	rao-tao
ząb	chun
zła energia	jia-gui
zła fortuna	zhun-shen
złamanie	za-ru
złamać	kun-eng
złapać	chio
złota rybka	dongo-che
złotnik	sui-sang
złoto	huaio
złotożółty	nou-chou
złoty dzwon	nou-gu-nu
złoty dzwon (technika)	nou-gu-nu
złoty eliksir	nou-run
zły	nuo
ósmy	na-zhui
ćwiczyć	rang-gun
ćwiczyć, praktykować	rang-gun
ćwierkanie	mi-li
łabędź	cuan-gai
łagodny	sui-liao
łagodny, delikatny	sui-liao
łajać	cen-bu
łapać	cang-huang
łapać	seng-lou
łapać (w powietrzu)	seng-lou
łatwy	kuo
łańcuch	qiao-zuan
łkać	beio-miu
łoskot	chuang-rui
łoskot	tuo-lao-suan
łoskot, huk	chuang-rui
łowić ryby	haio-wei
łowy	qi-niao
łucznicy	ei-tan
łuk	bian
łuk pamiątkowy	ye-cai
łyżka	nuo-zhun
łódź	ha-jing
łódź rybacka	haio-men
łóżko	zhai-lie
łączyć	duo-mian
łączyć	se-si
łączyć, jednoczyć	duo-mian
Śledziona	mo-qi
Śledziona (TCM)	mo-qi
ściana	ling-dian
ściereczka do herbaty	wang-cha
ścierka	bai-pai
ścigać	zhong-dian
ścigać (wroga)	zhong-dian
ślimak	han-jian
ślimak wodny	rong-chua
ślub	pin-kun
śmiać się	tao-pin
śmiać się radośnie	tao-mai
śmiertelny wróg	qiu-xin
śmierć	weng-qing
śmieć	zeng-reng
śniadanie	fano-sang
śnieg	xueo
śpiewać	song-ye
średni	zhi-re
środek	mei-chi
środek, umiarkowanie	mei-chi
środowisko	zhuai-hu
śruba	jiang-can
świadek	shuan-ti
świat	fa-gu
świat	san-wang
świat ludzi	zhan-fa-bian
świat zwierząt	dongo-re
światło słoneczne	ce-wo
świeca	muo-ling
świecznik	shun-pin
świerszcz	shuo-reng
świetlik	dai-die-xiang
świeżo pachnący	jiong-peng
świeży	miao-seng
świnia	tuno-zhun
świst wiatru	fengo-ni
świt	chang-man
świątynia	kei-qu
świątynia taoistyczna	he-she
świątynia, sanktuarium	kei-qu
święto	dia-long
źrebię	bian-kang
źródło	yuano-seng
żaglowiec	chu-mang
żal	beio-mou
żal, skrucha	beio-mou
żałoba	beio-shuo
żałoba, głęboki smutek	beio-shuo
żelazna dłoń	duo-gua-bao
żeń-szeń	heng-gao
żniwa	zhen-zhe
żona	miao-you
żona wujka	pi-guo
żołnierz	fou-bing
żołądek	kuo-jiong
żołądek (organ)	kuo-jiong
żuć	chuo-pei
żwir	zhui-zhuai
życzliwość	e-ling
życzyć sobie	wan-lang
życzę tobie	hang-xin
żywy	bian-ruo
żywy	lue
żyć	qio
żółty	nou
żółty ziemisty	nou-gang
żółw	guio-yao
żółw błotny	guio-cuan
żółw i wąż	sheo-da
żółwia prędkość	guio-ang
żądać	dian-quan
